transaction_id,store_id,customer_id,product_id,quantity,unit_price,transaction_date,source_file,transaction_ts,quantity_num,unit_price_num
T900004,S001,UNKNOWN,P008,1,390000.0,2026-08-06 17:27:00,sales_2026_08_06.csv,2026-08-06 17:27:00,1,390000.0
T900005,S004,C020,P009,2,,2026-08-06 08:05:00,sales_2026_08_06.csv,2026-08-06 08:05:00,2,45000.0
T900006,S001,C014,P018,1,25000.0,2026-08-06 11:32:00,sales_2026_08_06.csv,2026-08-06 11:32:00,1,25000.0
T900007,S005,C037,P027,4,18000.0,2026-08-06 16:12:00,sales_2026_08_06.csv,2026-08-06 16:12:00,4,18000.0
T900008,S004,C025,P022,3,18000.0,2026-08-06 11:28:00,sales_2026_08_06.csv,2026-08-06 11:28:00,3,18000.0
T900009,S002,C096,P009,2,45000.0,2026-08-06 08:48:00,sales_2026_08_06.csv,2026-08-06 08:48:00,2,45000.0
T900010,S005,C018,P012,3,12000.0,2026-08-06 19:27:00,sales_2026_08_06.csv,2026-08-06 19:27:00,3,12000.0
T900011,S005,C016,P023,2,22000.0,2026-08-06 12:09:00,sales_2026_08_06.csv,2026-08-06 12:09:00,2,22000.0
T900012,S005,C010,P013,1,35000.0,2026-08-06 13:06:00,sales_2026_08_06.csv,2026-08-06 13:06:00,1,35000.0
T900013,S004,C068,P022,3,18000.0,2026-08-06 14:06:00,sales_2026_08_06.csv,2026-08-06 14:06:00,3,18000.0
T900014,S003,C004,P018,3,25000.0,2026-08-06 13:38:00,sales_2026_08_06.csv,2026-08-06 13:38:00,3,25000.0
T900015,S001,C045,P022,4,18000.0,2026-08-06 08:46:00,sales_2026_08_06.csv,2026-08-06 08:46:00,4,18000.0
T900016,S001,C089,P012,4,12000.0,2026-08-06 16:07:00,sales_2026_08_06.csv,2026-08-06 16:07:00,4,12000.0
T900017,S002,C058,P009,3,45000.0,2026-08-06 09:35:00,sales_2026_08_06.csv,2026-08-06 09:35:00,3,45000.0
T900018,S004,C091,P028,3,28000.0,2026-08-06 18:39:00,sales_2026_08_06.csv,2026-08-06 18:39:00,3,28000.0
T900019,S004,C050,P007,1,165000.0,2026-08-06 17:12:00,sales_2026_08_06.csv,2026-08-06 17:12:00,1,165000.0
T900020,S004,C021,P029,2,32000.0,2026-08-06 08:42:00,sales_2026_08_06.csv,2026-08-06 08:42:00,2,32000.0
T900021,S001,C035,P030,2,50000.0,2026-08-06 12:05:00,sales_2026_08_06.csv,2026-08-06 12:05:00,2,50000.0
T900022,S004,C019,P014,3,7000.0,2026-08-06 09:24:00,sales_2026_08_06.csv,2026-08-06 09:24:00,3,7000.0
T900023,S002,C063,P004,3,25000.0,2026-08-06 15:40:00,sales_2026_08_06.csv,2026-08-06 15:40:00,3,25000.0
T900024,S004,C060,P018,3,25000.0,2026-08-06 10:23:00,sales_2026_08_06.csv,2026-08-06 10:23:00,3,25000.0
T900025,S005,C007,P016,3,95000.0,2026-08-06 11:42:00,sales_2026_08_06.csv,2026-08-06 11:42:00,3,95000.0
T900026,S001,C006,P002,1,520000.0,2026-08-06 19:59:00,sales_2026_08_06.csv,2026-08-06 19:59:00,1,520000.0
T900027,S004,C060,P004,2,25000.0,2026-08-06 17:40:00,sales_2026_08_06.csv,2026-08-06 17:40:00,2,25000.0
T900028,S001,C051,P003,2,15000.0,2026-08-06 16:46:00,sales_2026_08_06.csv,2026-08-06 16:46:00,2,15000.0
T900029,S001,C041,P025,4,210000.0,2026-08-06 10:29:00,sales_2026_08_06.csv,2026-08-06 10:29:00,4,210000.0
