transaction_id,store_id,customer_id,product_id,quantity,unit_price,transaction_date,source_file
T000001,S001,C046,P029,1,32000,2026-08-01 16:30:48,sales_2026_08_01.csv
T000002,S002,C086,P007,3,165000,2026-08-01 12:49:39,sales_2026_08_01.csv
T000003,S003,C100,P004,2,25000,2026-08-01 17:26:40,sales_2026_08_01.csv
T000004,S004,C080,P018,1,25000,2026-08-01 15:40:15,sales_2026_08_01.csv
T000005,S002,C031,P024,1,40000,2026-08-01 09:02:09,sales_2026_08_01.csv
T000006,S002,C023,P028,3,28000,2026-08-01 18:43:54,sales_2026_08_01.csv
T000007,S004,C004,P029,3,32000,2026-08-01 16:22:21,sales_2026_08_01.csv
T000008,S003,C053,P006,3,280000,2026-08-01 16:38:48,sales_2026_08_01.csv
T000009,S002,C035,P026,3,30000,2026-08-01 09:24:33,sales_2026_08_01.csv
T000010,S001,C049,P006,4,280000,2026-08-01 12:57:15,sales_2026_08_01.csv
T000011,S001,C061,P028,3,28000,2026-08-01 12:04:43,sales_2026_08_01.csv
T000012,S002,C059,P008,1,390000,2026-08-01 18:11:39,sales_2026_08_01.csv
T000013,S003,C030,P012,4,12000,2026-08-01 15:04:57,sales_2026_08_01.csv
T000014,S001,C085,P008,2,390000,2026-08-01 17:03:01,sales_2026_08_01.csv
T000015,S004,C043,P007,3,165000,2026-08-01 12:52:39,sales_2026_08_01.csv
T000016,S001,C099,P009,2,45000,2026-08-01 10:29:58,sales_2026_08_01.csv
T000017,S003,C083,P009,1,45000,2026-08-01 14:06:01,sales_2026_08_01.csv
T000018,S004,C087,P017,4,85000,2026-08-01 08:42:07,sales_2026_08_01.csv
T000019,S005,C043,P027,4,18000,2026-08-01 17:06:14,sales_2026_08_01.csv
T000020,S001,C034,P001,2,450000,2026-08-01 14:56:53,sales_2026_08_01.csv
T000021,S005,C034,P006,1,280000,2026-08-01 16:20:20,sales_2026_08_01.csv
T000022,S001,C077,P002,3,520000,2026-08-01 11:53:59,sales_2026_08_01.csv
T000023,S003,C094,P014,1,7000,2026-08-01 18:40:39,sales_2026_08_01.csv
T000024,S003,C056,P026,2,30000,2026-08-01 17:49:27,sales_2026_08_01.csv
T000025,S005,C015,P020,3,180000,2026-08-01 16:33:43,sales_2026_08_01.csv
T000026,S005,C025,P013,4,35000,2026-08-01 10:08:27,sales_2026_08_01.csv
T000027,S001,C091,P009,2,45000,2026-08-01 13:08:02,sales_2026_08_01.csv
T000028,S001,C067,P014,2,7000,2026-08-01 08:28:54,sales_2026_08_01.csv
T000029,S005,C088,P030,3,50000,2026-08-01 09:41:49,sales_2026_08_01.csv
T000030,S002,C047,P024,3,40000,2026-08-01 15:30:48,sales_2026_08_01.csv
T000031,S001,C086,P014,4,7000,2026-08-01 16:11:32,sales_2026_08_01.csv
T000032,S003,C080,P030,2,50000,2026-08-01 18:38:33,sales_2026_08_01.csv
T000033,S001,C093,P011,2,75000,2026-08-01 11:35:02,sales_2026_08_01.csv
T000034,S003,C065,P029,4,32000,2026-08-01 12:04:30,sales_2026_08_01.csv
T000035,S004,C042,P010,1,8000,2026-08-01 13:09:54,sales_2026_08_01.csv
T000036,S003,C071,P013,4,35000,2026-08-01 10:05:03,sales_2026_08_01.csv
T000037,S002,C054,P005,2,120000,2026-08-01 09:25:44,sales_2026_08_01.csv
T000038,S004,C087,P022,3,18000,2026-08-01 13:13:57,sales_2026_08_01.csv
T000039,S002,C079,P024,2,40000,2026-08-01 10:29:45,sales_2026_08_01.csv
T000040,S003,C052,P019,3,55000,2026-08-01 15:22:04,sales_2026_08_01.csv
T000041,S001,C039,P018,4,25000,2026-08-01 12:48:31,sales_2026_08_01.csv
T000042,S002,C056,P010,1,8000,2026-08-01 17:09:34,sales_2026_08_01.csv
T000043,S005,C078,P026,3,30000,2026-08-01 15:42:10,sales_2026_08_01.csv
T000044,S003,C060,P021,1,10000,2026-08-01 11:26:09,sales_2026_08_01.csv
