transaction_id,store_id,customer_id,product_id,quantity,unit_price,transaction_date
T000001,S001,C046,P029,1,32000,2026-08-01 16:30:48
T000002,S002,C086,P007,3,165000,2026-08-01 12:49:39
T000003,S003,C100,P004,2,25000,2026-08-01 17:26:40
T000004,S004,C080,P018,1,25000,2026-08-01 15:40:15
T000005,S002,C031,P024,1,40000,2026-08-01 09:02:09
T000006,S002,C023,P028,3,28000,2026-08-01 18:43:54
T000007,S004,C004,P029,3,32000,2026-08-01 16:22:21
T000008,S003,C053,P006,3,280000,2026-08-01 16:38:48
T000009,S002,C035,P026,3,30000,2026-08-01 09:24:33
T000010,S001,C049,P006,4,280000,2026-08-01 12:57:15
T000011,S001,C061,P028,3,28000,2026-08-01 12:04:43
T000012,S002,C059,P008,1,390000,2026-08-01 18:11:39
T000013,S003,C030,P012,4,12000,2026-08-01 15:04:57
T000014,S001,C085,P008,2,390000,2026-08-01 17:03:01
T000015,S004,C043,P007,3,165000,2026-08-01 12:52:39
T000016,S001,C099,P009,2,45000,2026-08-01 10:29:58
T000017,S003,C083,P009,1,45000,2026-08-01 14:06:01
T000018,S004,C087,P017,4,85000,2026-08-01 08:42:07
T000019,S005,C043,P027,4,18000,2026-08-01 17:06:14
T000020,S001,C034,P001,2,450000,2026-08-01 14:56:53
T000021,S005,C034,P006,1,280000,2026-08-01 16:20:20
T000022,S001,C077,P002,3,520000,2026-08-01 11:53:59
T000023,S003,C094,P014,1,7000,2026-08-01 18:40:39
T000024,S003,C056,P026,2,30000,2026-08-01 17:49:27
T000025,S005,C015,P020,3,180000,2026-08-01 16:33:43
T000026,S005,C025,P013,4,35000,2026-08-01 10:08:27
T000027,S001,C091,P009,2,45000,2026-08-01 13:08:02
T000028,S001,C067,P014,2,7000,2026-08-01 08:28:54
T000029,S005,C088,P030,3,50000,2026-08-01 09:41:49
T000030,S002,C047,P024,3,40000,2026-08-01 15:30:48
T000031,S001,C086,P014,4,7000,2026-08-01 16:11:32
T000032,S003,C080,P030,2,50000,2026-08-01 18:38:33
T000033,S001,C093,P011,2,75000,2026-08-01 11:35:02
T000034,S003,C065,P029,4,32000,2026-08-01 12:04:30
T000035,S004,C042,P010,1,8000,2026-08-01 13:09:54
T000036,S003,C071,P013,4,35000,2026-08-01 10:05:03
T000037,S002,C054,P005,2,120000,2026-08-01 09:25:44
T000038,S004,C087,P022,3,18000,2026-08-01 13:13:57
T000039,S002,C079,P024,2,40000,2026-08-01 10:29:45
T000040,S003,C052,P019,3,55000,2026-08-01 15:22:04
T000041,S001,C039,P018,4,25000,2026-08-01 12:48:31
T000042,S002,C056,P010,1,8000,2026-08-01 17:09:34
T000043,S005,C078,P026,3,30000,2026-08-01 15:42:10
T000044,S003,C060,P021,1,10000,2026-08-01 11:26:09
T000045,S004,C087,P015,4,30000,2026-08-01 17:09:17
T000046,S005,C061,P007,2,165000,2026-08-01 16:51:08
T000047,S002,C085,P026,4,30000,2026-08-01 12:15:44
T000048,S003,C066,P003,4,15000,2026-08-01 11:10:17
T000049,S005,C043,P022,1,18000,2026-08-01 15:30:26
T000050,S002,C087,P003,3,15000,2026-08-01 09:32:14
T000051,S002,C026,P010,4,8000,2026-08-01 10:11:56
T000052,S001,C006,P005,4,120000,2026-08-01 08:04:51
T000053,S004,C079,P008,4,390000,2026-08-01 16:39:22
T000054,S001,C059,P028,4,28000,2026-08-01 15:18:48
T000055,S005,C025,P014,2,7000,2026-08-01 15:45:24
T000056,S004,C064,P023,2,22000,2026-08-01 16:35:16
T000057,S002,C019,P013,3,35000,2026-08-01 13:02:53
T000058,S001,C097,P021,3,10000,2026-08-01 14:15:22
T000059,S001,C100,P028,1,28000,2026-08-01 09:32:15
T000060,S002,C023,P014,1,7000,2026-08-01 09:15:35
T000061,S005,C060,P026,2,30000,2026-08-01 15:21:08
T000062,S005,C032,P002,3,520000,2026-08-01 13:10:55
T000063,S001,C059,P030,4,50000,2026-08-01 14:13:03
T000064,S004,C086,P005,1,120000,2026-08-01 16:24:53
T000065,S005,C077,P017,3,85000,2026-08-01 14:58:54
T000066,S004,C079,P011,3,75000,2026-08-01 14:05:21
T000067,S005,C055,P027,1,18000,2026-08-01 14:09:04
T000068,S005,C058,P027,4,18000,2026-08-01 11:20:36
T000069,S002,C096,P029,3,32000,2026-08-01 08:20:20
T000070,S004,C058,P028,2,28000,2026-08-01 12:48:14
T000071,S002,C082,P009,4,45000,2026-08-01 10:21:37
T000072,S005,C063,P009,2,45000,2026-08-01 12:29:37
